"year" "month" "flds_mean" "flds_total" "fsds_mean" "fsds_total" "prec" "psrf" "rh" "temp" "wind" "temp_max" "temp_min"
2002 5 342.004370967742 254451.252 218.81326344086 162797.068 224.468482735733 98251.7035724963 72.424748655914 289.132194165301 3.59483803795833 303.229993896484 276.022993896484
2002 6 385.270138888889 277394.5 267.622341666667 192688.086 142.6 98134.2833333333 75.1722430555556 296.901734174262 2.91575262506114 305.299993896484 285.589993896484
2002 7 395.070161290323 293932.2 274.654029569892 204342.598 48.0290865871973 98451.7582836386 71.5975362903226 299.462172214904 2.56962739656281 307.899993896484 288.159993896484
2002 8 387.752889784946 288488.15 236.694768817204 176100.908 32.3418793074838 98519.6653225807 75.6936317204301 298.080853958621 2.94386938042772 307.389993896484 286.929993896484
2002 9 369.474722222222 266021.8 193.948384722222 139642.837 116.8 98449.0181049616 68.7000722222222 295.638835563151 2.9243981323294 306.519993896484 283.769993896484
2002 10 325.641813172043 242277.509 125.62019140798 93461.4224075368 94.2512876683719 98523.8657324977 77.2605067204301 285.467850759281 3.0497906636343 301.649993896484 274.771993896484
2002 11 297.071675 213891.606 79.1770875 57007.503 63.9389531870614 98302.8263888889 76.8805305555556 278.500045948875 3.95434411154503 295.729993896484 269.420993896484
2002 12 281.300012096774 209287.209 69.3328534946236 51583.643 71.1659741801569 98364.5537634409 78.4863911290323 274.130123228879 3.8891381967681 288.289993896484 263.561993896484
2003 1 251.842003753636 187370.450792705 86.7257769113694 64523.9780220588 17.2737682049469 98543.0164894464 72.1392144793677 268.3335776469 3.67972263920621 285.089993896484 254.049993896484
2003 2 275.795291849682 185334.436122987 94.6140169892232 63580.619416758 75.4255168980565 97921.4398006615 81.6147160029164 270.342104377062 3.43224379396199 286.989993896484 255.354965600606
2003 3 299.320569892473 222694.504 166.988666666667 124239.568 60.5 97995.0591397849 68.2623306451613 280.369511369602 3.67711883481457 295.429993896484 261.009993896484
2003 4 325.595833333333 234429 196.267726388889 141312.763 78.3450511945393 98125.1486111111 62.5595930555556 286.371798063151 4.42919210568193 300.069993896484 271.851993896484
2003 5 357.785080645161 266192.1 194.98105208126 145065.902748457 124.718283588251 98005.1206824029 77.5502930107527 289.655544209059 3.60577262628726 300.079993896484 280.308993896484
2003 6 365.382083333333 263075.1 243.625501388889 175410.361 70.9 98141.6083333333 72.0801444444444 293.114543896484 3.21135043728501 302.539993896484 277.195993896484
2003 7 384.78543872261 286280.366409622 258.942555731171 192653.261463991 176.400674476422 98328.4414419823 77.1160987579275 296.34398066296 3.10925270811933 304.179993896484 289.029993896484
2003 8 390.680835486059 290666.541601628 231.134650124375 171964.179692535 54.3 98299.9892473118 80.8578672666052 296.482749272828 2.91631205870088 304.839993896484 289.419993896484
2003 9 350.471947928022 252339.802508176 199.345571102717 143528.811193956 121.5 98201.9916666667 74.2954197138014 291.268227977826 3.1567145362942 299.729993896484 278.285993896484
2003 10 322.548258064516 239975.904 151.134357526882 112443.962 51 98289.1814516129 65.4022252916934 286.473049747148 3.53806216808496 298.829993896484 274.993993896484
2003 11 313.626314287616 225810.946287083 83.1320388888889 59855.068 112.3 98488.5 72.6731138888889 281.954305007595 4.23995324285284 298.759993896484 268.632993896484
2003 12 287.005948421442 213532.425625553 60.6130860215054 45096.136 65.5 98454.9408602151 73.6220215053763 274.771282874979 3.97817645566853 288.889993896484 262.629993896484
2004 1 271.66688958421 202120.165850652 73.8668034115449 54956.9017381894 118.069463087248 98520.5617798242 75.395580271687 269.901839943699 3.8678317090255 291.119993896484 251.699993896484
2004 2 268.835070402299 187109.209 119.132165229885 82915.987 14.2 98761.1465517241 71.3642600051002 273.555475218323 3.88221381327526 289.359993896484 260.459993896484
2004 3 308.771653225806 229726.11 138.488584677419 103035.507 59.9115775075338 98607.0452137756 65.0380282963946 281.233151154549 4.03310979106591 298.399993896484 266.176993896484
2004 4 320.233341666667 230568.006 209.307670833333 150701.523 44.2 98251.0388888889 61.3729909924227 286.457043896484 4.45448038461226 302.019993896484 273.476993896484
2004 5 368.803498655914 274389.803 228.432715053763 169953.94 183.571619661089 98241.7163978495 67.4483662586993 292.845324541645 3.873484282211 302.479993896484 277.719993896484
2004 6 372.177222222222 267967.6 272.288563888889 196047.766 73 98370.3388888889 70.000460015828 295.145092507595 3.24394673839643 303.809993896484 283.899993896484
2004 7 389.238844086022 289593.7 234.986326612903 174829.827 108 98208.9946896698 72.0972229506579 295.982323197559 3.10070615992604 303.239993896484 287.529993896484
2004 8 373.084591397849 277574.936 223.771346774194 166485.882 92.9501730103806 98395.0282258065 72.8119371265795 295.081121584656 2.96905218594236 303.439993896484 284.789993896484
2004 9 357.218611111111 257197.4 208.645565277778 150224.807 3.6 98658.3388888889 70.9637115134615 294.419127229817 3.22370835375817 302.019993896484 281.454993896484
2004 10 336.037235215054 250011.703 119.663469086022 89029.621 116.2 98240.7043010753 66.6414051532263 287.687567821215 3.44778401735645 298.999993896484 276.287993896484
2004 11 320.844868055556 231008.305 73.2501402777778 52740.101 112.7 98658.7074933569 66.7138402581923 282.341750840928 3.65969719893003 293.359993896484 272.286993896484
2004 12 276.394880376344 205637.791 75.0809690860215 55860.241 31.2 98481.1155913978 75.8335104948944 274.037682068527 4.20435349462366 288.419993896484 256.799993896484
2005 1 294.34053408582 218989.35735985 65.8791689416614 49014.1016925961 202.279673982026 98833.2664894464 85.0849936759882 274.171260269522 3.68331455611045 293.639993896484 257.337993896484
2005 2 293.038834821429 196922.097 97.7987991071429 65720.793 58.65 98599.9970238095 78.7153125 276.470273658389 3.54651041666667 293.865993896484 266.221993896484
2005 3 288.728224462366 214813.799 150.276768096639 111805.915463899 35.25 97906.4879032258 68.0914852150538 277.492601423366 3.93600623120187 298.162993896484 265.265993896484
2005 4 330.591429166667 238025.829 197.964915277778 142534.739 61.55 98017.9166666667 61.9384222222222 287.235682785373 3.9269253859723 301.763993896484 273.275993896484
2005 5 334.25813844086 248688.055 257.503107526882 191582.312 101.3 98267.6384408602 58.9389516129032 290.071950885731 3.41082795698925 303.472993896484 274.771993896484
2005 6 383.282666686017 275963.520013932 269.157298611111 193793.255 80.8 98175.7291666667 70.5520569444444 296.999877229817 3.16544305555556 305.633993896484 284.613993896484
