"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","Species.Model","RW.modeled"
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1913,NA,"PIEN",0.0890421164424339
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1913,NA,"PIEN",0.127670790558268
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1913,NA,"PIEN",0.135802768635754
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1913,NA,"POGR",0.180764869031235
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1913,NA,"PIEN",0.123588282480572
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1913,NA,"PIEN",0.131888156665139
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1913,NA,"PIEN",0.302078066610285
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1913,NA,"PSME",0.143984013589383
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1914,NA,"POGR",0.121372654531244
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1914,NA,"POGR",0.0938897687468963
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1914,NA,"ACSA",0.0938897687468963
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1914,NA,"QUAL",0.332556281638304
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1914,NA,"QURU",0.598870739965637
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1914,NA,"PRSE",0.353738420324748
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1914,NA,"QURU",0.894631306214091
"QUVE","Oak Openings Toledo","OOA","OOA030",32.3,1914,NA,"QUVE",0.673200449551854
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1914,NA,"PRSE",0.495987167264346
"PRSE","Oak Openings Toledo","OOB","OOB005",20.05,1914,NA,"PRSE",0.511064410482317
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1914,NA,"QUVE",0.61807902483606
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1914,NA,"QUAL",0.399864680587071
"QUAL","Oak Openings Toledo","OOB","OOB051",20.7,1914,NA,"QUAL",0.52197523874065
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1914,NA,"PIEN",0.0633647705156326
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1914,NA,"PIEN",0.102837190396228
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1914,NA,"PIEN",0.103171947363348
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1914,NA,"PIEN",0.0650338203487858
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1914,NA,"PIEN",0.0860046283700299
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1914,NA,"PIEN",0.0914826844657838
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1914,NA,"PIEN",0.0691761429509957
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1914,NA,"PIEN",0.0637779736142392
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1914,NA,"PIEN",0.0795513623902564
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1914,NA,"PIEN",0.0582305395707862
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1914,NA,"PIEN",0.139127421088461
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1914,NA,"PIEN",0.191307674494013
