"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","RW.modeled"
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1913,NA,0.115290955727936
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1913,NA,0.122669132324143
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1913,NA,0.270533456960944
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1913,NA,0.133384193229184
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1914,NA,0.101962723731859
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1914,NA,0.0798046532440434
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1914,NA,0.0798046532440434
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1914,NA,0.0597251920016894
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1914,NA,0.0948114867821277
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1914,NA,0.0951060094919483
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1914,NA,0.0612256742038903
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1914,NA,0.0799421471029096
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1914,NA,0.0847947296317683
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1914,NA,0.0649421447732501
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1914,NA,0.0600968293943315
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1914,NA,0.0742074902402372
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1914,NA,0.055097955551955
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1914,NA,0.12651214178519
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1914,NA,0.171450388229224
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1914,NA,0.100255222602364
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1914,NA,0.150977198392124
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1914,NA,0.0847947296317683
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1914,NA,0.118296105460262
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1914,NA,0.125476818455743
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1914,NA,0.164854093662261
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1914,NA,0.114683363058483
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1914,NA,0.122022656066767
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1914,NA,0.269107723743162
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1914,NA,0.132681247733458
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1915,NA,0.103088059591923
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1915,NA,0.0806854362871851
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1915,NA,0.0806854362871851
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1915,NA,0.0613002300301066
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1915,NA,0.0973118001709637
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1915,NA,0.0976140898623989
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1915,NA,0.0628402820762917
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1915,NA,0.0820503349134543
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1915,NA,0.0870308869265932
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1915,NA,0.0666547612460771
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1915,NA,0.0616816680279302
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1915,NA,0.0761644470151684
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1915,NA,0.0565509667918337
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1915,NA,0.129848446411261
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1915,NA,0.175971778155276
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1915,NA,0.102899095026277
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1915,NA,0.154958681262615
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1915,NA,0.0870308869265932
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1915,NA,0.117664281162275
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1915,NA,0.124806641678358
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1915,NA,0.163973601260646
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1915,NA,0.114070834564216
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1915,NA,0.121370928110821
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1915,NA,0.267670408474198
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1915,NA,0.131972591807051
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1916,NA,0.10422108010943
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1916,NA,0.081572233993333
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1916,NA,0.081572233993333
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1916,NA,0.0628985909668596
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1916,NA,0.0998491377959937
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1916,NA,0.100159309481251
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1916,NA,0.0644787988008774
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1916,NA,0.0841897404280626
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1916,NA,0.0893001568769035
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1916,NA,0.0683927378665889
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1916,NA,0.0632899746956407
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1916,NA,0.0781503820894519
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1916,NA,0.0580254939871034
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1916,NA,0.13323415449653
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1916,NA,0.180560120091941
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1916,NA,0.105582117485352
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1916,NA,0.158999121287379
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1916,NA,0.0893001568769035
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1916,NA,0.117026723693142
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1916,NA,0.124130383719585
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1916,NA,0.16308511927451
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1916,NA,0.113452747988849
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1916,NA,0.120713286378018
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1916,NA,0.26622005101225
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1916,NA,0.13125750553961
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1917,NA,0.105361367300045
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1917,NA,0.0824647192125877
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1917,NA,0.0824647192125877
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1917,NA,0.0645183888571024
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1917,NA,0.102420505775123
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1917,NA,0.102738665166204
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1917,NA,0.0661392910417622
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1917,NA,0.0863578392968802
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1917,NA,0.0915998619018344
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1917,NA,0.070154023943134
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1917,NA,0.0649198517073457
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1917,NA,0.0801629521976895
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1917,NA,0.0595197972981288
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1917,NA,0.136665271140709
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1917,NA,0.185210000114547
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1917,NA,0.108301124199512
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1917,NA,0.163093751027932
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1917,NA,0.0915998619018344
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1917,NA,0.116382808301001
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1917,NA,0.123447381904383
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1917,NA,0.162187777067396
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1917,NA,0.112828497660332
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1917,NA,0.12004908643563
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1917,NA,0.264755230130884
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1917,NA,0.130535288207673
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1918,NA,0.106508484537602
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1918,NA,0.0833625502043747
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1918,NA,0.0833625502043747
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1918,NA,0.0661575505596854
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1918,NA,0.105022613075068
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1918,NA,0.105348855660699
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1918,NA,0.0678196335740557
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1918,NA,0.0885518566212554
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1918,NA,0.0939270586631163
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1918,NA,0.0719363652471669
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1918,NA,0.0665692130218654
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1918,NA,0.0821995814988252
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1918,NA,0.0610319642013148
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1918,NA,0.140137404938456
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1918,NA,0.189915466951228
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1918,NA,0.111052635176138
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1918,NA,0.167237329864156
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1918,NA,0.0939270586631163
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1918,NA,0.115731927684391
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1918,NA,0.122756992067381
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1918,NA,0.161280728321234
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1918,NA,0.112197494824085
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1918,NA,0.119377701851057
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1918,NA,0.263274564300991
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1918,NA,0.129805258660197
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1919,NA,0.107661976279027
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1919,NA,0.0842653704221476
