"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"1987",0.141901756621355,0.00643191161309388,0.00572297258802718,0.055465121846805,0.0413615961340719,0.171171215670322,0.0042409346205553,0.088580071098523,0.0717821795070614,0.00682606489852934,0.00123732358504695,0.0083790184015777
"1986",0.129567781262315,0.00630968870942748,0.00608876797130521,0.0580352875163954,0.0403040877108116,0.125961472039078,0.00485282275248543,0.0800077784545734,0.0649659027862741,0.00734698686667297,0.00133601509024847,0.008014754997996
"1985",0.140576716511312,0.00334864082439333,0.00529032224061883,0.06257475922709,0.0385113269037738,0.100400407668801,0.00668376024153477,0.0778732005974567,0.0736535814828612,0.00605973517176121,0.00116055159887769,0.00800448062275128
"1984",0.117233954304645,0.00419695946179861,0.00414412496574864,0.0435835067344692,0.0360355484983343,0.0489214442158774,0.00316381274060228,0.0707923676058182,0.066691960886228,0.00581913693517354,0.000756894682808623,0.00835987713944766
"1983",0.1214361140702,0.0058066098105459,0.00407796226375867,0.0501324080059713,0.041377650808029,0.101675584537222,0.00388519443401122,0.0804646665829276,0.0735096867768181,0.00558255679791282,0.000821528437356098,0.0065011175632908
"1982",0.153280524518447,0.00494900818184167,0.00260563249248827,0.057725486773534,0.0514892436214671,0.161921920600847,0.00544700078556046,0.101713912789186,0.105207497923452,0.00661606417056559,0.00156375454224453,0.00783656987805093
"1981",0.138985596071349,0.00582053659067568,0.00232494771929338,0.0519170027418714,0.0467323319236713,0.107957498815122,0.0037496552270854,0.0579499760555344,0.0750451691977814,0.0056217940424353,0.00101805389910981,0.00643274000912125
"1980",0.156284052878499,0.00886264601335594,0.0026126727241277,0.0672897853973685,0.0467886918312129,0.16427801251158,0.00522301825225195,0.066660847879179,0.0873651621252636,0.00610849735041173,0.00093525641482517,0.00508407269416544
"1979",0.144833795792796,0.00683015301615629,0.00144641024913941,0.0668184415433585,0.0323929752274245,0.108444584906562,0.00546651692138866,0.0783372742969175,0.0973674160473763,0.00515166257385688,0.00123118491319885,0.0057163409540063
"1978",0.138119891635348,0.00148006636021102,0.000522876284764586,0.063882949330586,0.0317774507586832,0.110390848103219,0.00352153499890602,0.0848384189965543,0.10878340970616,0.0041701596831954,0.000999271840568458,0.00522444582850692
