Site,Transect,Plot_Distance,Plot_Name,Plot_Radius,Tree_Tag_Number,Distance_From_Center,Bearing_From_Center,Species,Year,Start_Date,End_Date,Status,Multiple_Stems,Height,DBH_1,Percent_Dead,Decay_Class,Notes
MCON,Left,35,4,10,905,3.4,225,PIEN,2012,20-Jul-12,23-Jul-12,1,No,22.7,51.8,10,,
MCON,Left,35,4,10,906,7,225,PIEN,2012,20-Jul-12,23-Jul-12,1,No,25.6,59.7,15,,
MCON,Left,35,4,10,907,6.4,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,8.166666667,17.1,100,,
MCON,Left,35,4,10,908,6.6,315,PIEN,2012,20-Jul-12,23-Jul-12,1,No,16.66666667,27.8,30,,
MCON,Left,35,4,10,909,7.6,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,11,12.6,80,,
MCON,Left,35,4,10,910,9.5,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,19.36666667,29.6,30,,
MCON,Left,35,4,10,911,1.5,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,12.96666667,17.6,40,,
MCON,Left,35,4,10,912,2.4,45,PIEN,2012,20-Jul-12,23-Jul-12,2,No,8.633333333,13.6,100,,
MCON,Left,35,4,10,913,9.3,45,PIEN,2012,20-Jul-12,23-Jul-12,2,No,9.933333333,17.8,100,,
MCON,Left,35,4,10,914,7,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,13.36666667,23.8,40,,same basal stem as 915
MCON,Left,35,4,10,915,7.3,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,8.533333333,10.5,80,,same basal stem as 914
MCON,Left,35,4,10,916,9.5,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,5.9,14.1,50,,
MCON,Left,35,4,10,917,6.5,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,12.7,16.5,30,,
MCON,Left,35,4,10,918,9.3,90,PIEN,2012,20-Jul-12,23-Jul-12,2,No,4.833333333,13.5,100,,
MCON,Left,35,4,10,919,9.3,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,21.3,44.6,40,,same basal stem as 920
MCON,Left,35,4,10,920,9.7,90,PIEN,2012,20-Jul-12,23-Jul-12,2,No,5.066666667,13.5,100,,same basal stem as 919
MCON,Left,35,4,10,921,6.9,90,PIEN,2012,20-Jul-12,23-Jul-12,1,No,18.8,34.9,50,,
MCON,Left,35,4,10,922,2.9,135,PIEN,2012,20-Jul-12,23-Jul-12,1,No,19.03333333,36.3,30,,
MCON,Left,35,4,10,923,4.1,135,PIEN,2012,20-Jul-12,23-Jul-12,1,No,16.3,27.8,40,,
MCON,Left,35,4,10,924,4.6,180,PIEN,2012,20-Jul-12,23-Jul-12,2,No,8.966666667,12.3,100,,
MCON,Left,35,4,10,925,5.8,180,PIEN,2012,20-Jul-12,23-Jul-12,2,No,11.86666667,24.3,100,,
MCON,Left,35,4,10,926,7.5,180,PIEN,2012,20-Jul-12,23-Jul-12,1,No,14.13333333,33.1,25,,
